indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
change in # soil moisture,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in mean wind,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in extreme total water level,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
areas below calcium carbonate saturation thresholds,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
drought index (di),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
drought frequency (df),,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
forest fire danger index (ffdi),,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
c-haines index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
combined sea level due to storm surge and tide,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
growing degree days,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
cooling degree days,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
wet bulb globe temperature (wbgt) index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
maximum temperatures,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
cooling degree day index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
heat stress index,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
heating degree day index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
drought severity index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
shoreline change (indicator of coastal erosion),,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems (freshwater/coastal),
humidity,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
monthly drought code fire index,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
fire weather index (fwi),,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
maximum fire weather index,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
convective available potential energy and wind shear,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
degree heating weeks,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
degree heating months,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
maximum daytime heat index,,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
regional deficit index,,,,,,,1,,,,,,,,1,,,,1,,,Human assets,,State of economy,
fire risk,,,,,,,1,,,,,,,,1,,,,1,,,Direct drivers,,Natural drivers,
"standardized precipitation
evapotranspiration index spei",,,,,,,1,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
wet bulb temperature,,,,,,,1,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
greenhouse gas index (national oceanic and atmospheric administration),,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
glacier mass balance,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Change in ecosystems,
northern hemisphere (mar-apr) snow cover,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
specific humidity,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
annual global mean surface temperature,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
marine air temperature,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
tropospheric temperature,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
ocean heat content and specific humidity,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
shrinking of the arctic ice cover,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
increase in the global mean sea level,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Change in ecosystems,
altering of the carbon and biogeochemical cycles,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
extent of ice cover,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
summer arctic sea ice extent,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
climate related loss events,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
poverty,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,Human well-being,State of economy,Healthy living conditions
zoonotic disease,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,(Infectious) diseases,
nutrition,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
life expectancy,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
economic growth,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,State of economy,
inclusive societies,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Equity,
environmentally friendly policy processes,,,,,,1,,,,,,,,,1,,,,,1,,Governance,,Nature-based legislation,
gender-disaggregated agricultural indices,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Equity,
agricultural employment and landholders,,,,,,1,,,,,,,,,1,,,,1,,,Human assets,,Income,
cross-natrional comparative information on access to and ownership of land,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Equity,
sex-disaggregated burden-of-disease data,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
underweight children,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
global human settlement layer (ghsl),,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Information on society and socio-economics,
sustainability and/or environmental themes as one of the general goals of education,,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Specific information on human-nature relationship,
integration of education for sustainable development (esd) in curricula,,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Specific information on human-nature relationship,
integration of education for sustainable development (esd) in higher education,,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Specific information on human-nature relationship,
loss of mass of mountain glaciers and polar ice sheets,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Change in ecosystems,
sea level rise,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,ecosystems,Climate change,State of ecosystems (marine)
mountain glaciers,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
polar ice sheets,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
antimicrobial resistence in pathogens,,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
toxocological potential of nanoparticals,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
global temperature increase,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,Direct drivers,Climate change,Natural drivers
measured concentrations of o in the upper stratospere,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
odss and ghgs,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Pollution,
o3 concentration,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
pressure ozone trend,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
o recovery,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
national oceanic and atmospheric administration annual greenhouse gas index (aggi),,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
air pollution exposure,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Pollution,
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
exposure to ambient pm,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
"high blood pressure, smoking, low birth weight, high levels of blood sugar",,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
high body mass index,,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
premature deaths,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
exposure to high concentrations of pollutants,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Pollution,
safe level of annual average pm exposure,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Pollution,
disability-adjusted life years (dalys) lost,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
premature deaths in 2016 to household air pollution,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,Direct drivers,Healthy living conditions,Pollution
urban growth,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Infrastructure (build-up area),
habitat loss,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
deforestation,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Change in ecosystems,
road construction,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Infrastructure (build-up area),
species abundance,,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
invertebrate abundance and biomass,,,,,,1,,,,,,,,,1,,,,,1,,biodiversity,,State of biodiversity,
enhanced vegetation index,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems (integrity),
land cover change,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Land conversion,
deforestation rate,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,ecosystems,Land conversion,Change in ecosystems
coral bleaching,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,Direct drivers,Change in ecosystems,Climate change
global atmospheric co levels,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
marine litter,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
floating plastic litter density,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution
build up area,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Infrastructure (build-up area),
fertilizer price,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Pollution,
maize price,,,,,,1,,,,,,,,,1,,,,,1,,Ecosystem services,,Specific monetary valuation of nature contribution,
wetland area index,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
living planet index (migratory fish),,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
water infrastructure,,,,,,1,,,,,,,,,1,,,,1,,,Human assets,,Infrastructure (build-up area),
"drinking water supply, treatment and distribution",,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
"provision of safe, reliable drinking water",,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
us national ambient air quality standards,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
population-weighted annual mean concentration of pm2.5,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
emissions of ozone-depleting substances,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
pm2.5 emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
so2 emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
no emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
nh3 emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
global warming potential index,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Climate change,
global temperature potential,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Abiotic conditions,
global capacity,,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Specific information on human-nature relationship,
presense of endemic species,,,,,,1,,,,,,,,,1,,,,,1,,biodiversity,,State of biodiversity,
biocapacity,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
willingness-to-participate,,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Information on society and socio-economics,
beach litter,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
nutrient pollution,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
regional seas and action plans,,,,,,1,,,,,,,,,1,,,,1,,,Governance,,Nature-based legislation,
stranded debris,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
number of vulnerable marine ecosystems,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
stock status,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
proportion of terrestrial protected area as a share of the total land area,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,Area conservation,
soil carbon sequestration,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,,State of ecosystems,
resources per capita invested in human settlement per km2,,,,,,1,,,,,,,,,1,,,,1,,,Human assets,,Infrastructure (build-up area),
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",,,,,,1,,,,,,,,,1,,,,1,,,Knowledge systems,,Information on society and socio-economics,
ratio of land consumption rate to urban population growth rate at comparable scale,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Land conversion,
freshwater withdrawal as a proportion of available freshwater resources,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
millenium development goals indicators,,,,,,1,,,,,,,,,1,,,,1,,,Governance,Human well-being,Legislation/governance,Healthy living conditions
improved/unimproved sources of drinking water,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
proportion of the global population using piped water supplies on premises,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
number of people without access to safe sanitation services,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
improved water supply and sanitation,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
freshwater change over time,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
gender equality,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Equity,
empowerment of women and girls,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Equity,
reduction of inequality within and among countries,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Equity,
quantity of land area known to have (in)sufficient infrastructure against flooding,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Infrastructure (build-up area),
number of residents living in floodplains,,,,,,1,,,,,,,,,1,,,,,1,,Knowledge systems,,Information on society and socio-economics,
low-elevation coastal zones,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
network of communication channels in times of crisis or disaster,,,,,,1,,,,,,,,,1,,,,,1,,Knowledge systems,,Information on society and socio-economics,
drought-resistant vegetation,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,State of ecosystems,
water- saving devices,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Infrastructure (build-up area),
buffer zones to protect catchment areas,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Area conservation,
amend policies that lead to destruction of mangroves,,,,,,1,,,,,,,,,1,,,,,1,,Governance,,Nature detrimental legislation,
laws preventing recycling of water,,,,,,1,,,,,,,,,1,,,,,1,,Governance,,Nature detrimental legislation,
laws allowing building in vulnerable areas,,,,,,1,,,,,,,,,1,,,,,1,,Governance,,Nature detrimental legislation,
land-use models for efficient farming,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Specific information on human-nature relationship,
sustainable fishing practices,,,,,,1,,,,,,,,,1,,,,,1,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
community awareness,,,,,,1,,,,,,,,,1,,,,,1,,Knowledge systems,,Information on society and socio-economics,
ghg emissions from agriculture,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
agricultural emissions from different farming sectors,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
sustainability and nutrient efficiency of national dietary outcomes,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
dietary health and sustainability,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,Ecosystem services,Healthy living conditions,Specific mention of sustainable use of species/ecosystems
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
recommended intake values for the food groups,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
energy production,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
energy consumption,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Nature contribution,
achievement of a circular economic system,,,,,,1,,,,,,,,,1,,,,,1,,Knowledge systems,,Information on society and socio-economics,
sustainable resource management,,,,,,1,,,,,,,,,1,,,,,1,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
societal behaviour,,,,,,1,,,,,,,,,1,,,,,1,,Knowledge systems,,Information on society and socio-economics,
business operations,,,,,,1,,,,,,,,,1,,,,,1,,Governance,,Legislation/governance,
material flow accounting,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
material flow analysis,,,,,,1,,,,,,,,,1,,,,,1,,ecosystems,,Abiotic conditions,
pm 2.5 emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
o3 emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
volatile organic compounds emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
pm 10 emissions,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
mortality rate attributable to household and ambient air pollution,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,Human well-being,Pollution,Healthy living conditions
deaths due to unsafe water,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,Human well-being,Pollution,Healthy living conditions
sanitation and hygiene,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
mortality from unintentional poisoning,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
total gobal population living in water scarce areas,,,,,,1,,,,,,,,,1,,,,1,,,Human well-being,,Healthy living conditions,
marine nutirent pollution,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
nutrient runoff into oceans (n and p),,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Pollution,
trends in soil organic carbon stock,soil organic carbon (soc) stocks,,,,,1,,,,,,,,,1,,,,1,,,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution
number of people living on less than 1.90 usd per day,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,State of economy,
land-use change,,,,,,1,,,,,,,,,1,,,,1,,,Direct drivers,,Land conversion,
"changes in terrestrial, marine and freshwater vertebrate populations",,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,Change in biodiversity,
species dispersal ability,,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
projections of global fisheries under an unchanged climate and current management scenario,,,,,,1,,,,,,,,,1,,,,1,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
body mass index,,,,,,1,,,,,,,,,1,,,,1,,,biodiversity,,State of biodiversity,
blood pressure,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
smoking,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
childhood undernutrition,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
alcohol use,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,Human well-being,Healthy living conditions,Recreation
beef consumption,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
energy-intensity,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,State of economy,
share of low-carbon options,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Information on society and socio-economics,
measure of income,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Income,
health,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
levels of education,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Coverage of basic needs,
low income,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,,Income,
women and girl’s education,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,Human well-being,Coverage of basic needs,Equity
inclusive and equitable quality education,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,Human well-being,Coverage of basic needs,Equity
fertility rates,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
democracy,,,,,,1,,,,,,,,,1,,,,,1,,Knowledge systems,Governance,Information on society and socio-economics,Legislation/governance
universal female education,,,,,,1,,,,,,,,,1,,,,,1,,Human assets,Human well-being,Coverage of basic needs,Equity
piped drinking water,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,,Healthy living conditions,
advanced malaria control,,,,,,1,,,,,,,,,1,,,,,1,,Human well-being,Direct drivers,Healthy living conditions,(Infectious) diseases
complete phase-out of biomass use for cooking,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
food waste,,,,,,1,,,,,,,,,1,,,,,1,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
yield (improvement),,,,,,1,,,,,,,,,1,,,,,1,,Human assets,Ecosystem services,Coverage of basic needs,Specific monetary valuation of nature contribution
